transaction_id,date,amount,category,merchant,payment_method,account_type,transaction_type,description
T-257,2024-09-06 14:40:08.881401,2258.0,Other,Miscellaneous,Credit Card,Investment,Withdrawal,Church himself than might.
T-772,2024-09-06 14:40:08.881401,54.45,Groceries,Whole Foods,Credit Card,Savings,Payment,Crime occur across.
T-763,2024-09-07 14:40:08.881401,172.55,Healthcare,Pharmacy,Bank Transfer,Checking,Payment,Rise growth treatment seven what interview certainly budget.
T-549,2024-09-07 14:40:08.881401,5.0,Dining,Starbucks,Mobile Payment,Savings,Deposit,Put according project interesting change require reveal.
T-436,2024-09-07 14:40:08.881401,29.34,Subscriptions,Gym Membership,Bank Transfer,Savings,Payment,Here run cause ask.
T-1005,2024-09-07 14:40:08.881401,102.94,Groceries,Costco,Debit Card,Investment,Withdrawal,How exactly particularly later.
T-526,2024-09-07 14:40:08.881401,13.04,Subscriptions,Apple Music,Cash,Investment,Withdrawal,Unit surface term production accept station system.
T-368,2024-09-07 14:40:08.881401,4614.79,Other,Miscellaneous,Mobile Payment,Checking,Deposit,Run story represent near official music senior.
T-879,2024-09-07 14:40:08.881401,137.17,Healthcare,Dental Care,Debit Card,Investment,Deposit,Degree huge involve area across call.
T-434,2024-09-07 14:40:08.881401,79.3,Healthcare,Pharmacy,Bank Transfer,Checking,Transfer,Thank identify maybe common put fast someone.
T-240,2024-09-07 14:40:08.881401,146.69,Utilities,Gas Utility,Mobile Payment,Savings,Payment,Hope behavior article as.
T-588,2024-09-08 14:40:08.881401,2172.11,Travel,Uber,Cash,Checking,Transfer,Much wait speak three avoid much.
T-1141,2024-09-08 14:40:08.881401,2188.26,Shopping,Amazon,Bank Transfer,Checking,Deposit,Protect system popular language daughter government laugh.
T-333,2024-09-08 14:40:08.881401,108.23,Healthcare,Pharmacy,Cash,Investment,Deposit,If officer cold.
T-246,2024-09-08 14:40:08.881401,13.23,Dining,Chipotle,Bank Transfer,Investment,Deposit,Book cut garden consumer guess music.
T-649,2024-09-09 14:40:08.881401,31.36,Shopping,Best Buy,Credit Card,Investment,Payment,Just benefit finally research let.
T-1034,2024-09-09 14:40:08.881401,1380.33,Rent/Mortgage,Mortgage Bank,Debit Card,Checking,Transfer,Heart able add including guess green.
T-942,2024-09-11 14:40:08.881401,88.03,Groceries,Whole Foods,Mobile Payment,Savings,Payment,Join sure national.
T-754,2024-09-11 14:40:08.881401,34.5,Groceries,Trader Joe's,Debit Card,Savings,Transfer,Option or space two.
T-702,2024-09-11 14:40:08.881401,174.82,Travel,Uber,Credit Card,Investment,Payment,Form successful street beat kitchen.
T-463,2024-09-11 14:40:08.881401,94.48,Groceries,Trader Joe's,Credit Card,Savings,Transfer,Ground leader might but hold activity.
T-731,2024-09-11 14:40:08.881401,19.72,Entertainment,Netflix,Cash,Savings,Withdrawal,Thing indicate game detail.
T-348,2024-09-11 14:40:08.881401,1541.4,Rent/Mortgage,Mortgage Bank,Bank Transfer,Savings,Transfer,Mrs safe top third top throw.
T-217,2024-09-12 14:40:08.881401,120.57,Groceries,Whole Foods,Cash,Checking,Payment,Statement lay less student develop left institution.
T-661,2024-09-12 14:40:08.881401,7.16,Dining,Starbucks,Bank Transfer,Savings,Withdrawal,Election bit understand tough.
T-924,2024-09-12 14:40:08.881401,13.82,Subscriptions,Amazon Prime,Credit Card,Checking,Transfer,Would close about.
T-154,2024-09-14 14:40:08.881401,51.64,Shopping,Amazon,Debit Card,Investment,Payment,Address site commercial animal development walk main.
T-971,2024-09-14 14:40:08.881401,26.16,Subscriptions,Gym Membership,Mobile Payment,Investment,Transfer,Agree to next buy lose after study this.
T-899,2024-09-14 14:40:08.881401,2801.0,Other,Miscellaneous,Bank Transfer,Investment,Withdrawal,Help avoid least many.
T-617,2024-09-15 14:40:08.881401,159.01,Travel,Uber,Mobile Payment,Investment,Transfer,Feel mother community many however.
T-367,2024-09-15 14:40:08.881401,11.78,Subscriptions,Apple Music,Credit Card,Checking,Deposit,Enjoy alone shake hotel in available.
T-1149,2024-09-15 14:40:08.881401,5.0,Subscriptions,Amazon Prime,Cash,Checking,Deposit,System want school explain.
T-636,2024-09-15 14:40:08.881401,114.2,Healthcare,Dental Care,Cash,Checking,Transfer,Clear hear admit wide sign.
T-362,2024-09-15 14:40:08.881401,136.97,Utilities,Electric Co,Bank Transfer,Checking,Deposit,Field audience herself owner.
T-84,2024-09-15 14:40:08.881401,5.0,Subscriptions,Gym Membership,Credit Card,Checking,Transfer,Turn Congress rest blood bag glass mouth.
T-24,2024-09-16 14:40:08.881401,27.86,Entertainment,Spotify,Mobile Payment,Checking,Deposit,Become argue add mention.
T-1013,2024-09-16 14:40:08.881401,74.68,Groceries,Costco,Bank Transfer,Savings,Payment,Mrs state agreement dog thus cut.
T-1020,2024-09-17 14:40:08.881401,31.51,Groceries,Costco,Debit Card,Checking,Payment,We drop lose fire place operation.
T-770,2024-09-17 14:40:08.881401,2411.28,Other,Miscellaneous,Bank Transfer,Investment,Transfer,Time table apply push.
T-869,2024-09-17 14:40:08.881401,136.91,Utilities,Electric Co,Cash,Checking,Payment,Over enter sell case produce professor bring.
T-66,2024-09-17 14:40:08.881401,107.95,Travel,Airbnb,Debit Card,Investment,Payment,Truth from laugh yes different hospital.
T-1019,2024-09-20 14:40:08.881401,29.71,Groceries,Trader Joe's,Bank Transfer,Investment,Deposit,Type people by service also.
T-85,2024-09-20 14:40:08.881401,90.6,Travel,Uber,Bank Transfer,Savings,Transfer,Get huge represent real more college.
T-923,2024-09-21 14:40:08.881401,69.32,Dining,McDonald's,Credit Card,Investment,Transfer,Deal involve again actually Republican.
T-960,2024-09-21 14:40:08.881401,126.33,Groceries,Costco,Bank Transfer,Investment,Deposit,Pick school run author sure.
T-19,2024-09-21 14:40:08.881401,226.13,Utilities,Electric Co,Credit Card,Savings,Deposit,Remember half improve ago organization.
T-1144,2024-09-21 14:40:08.881401,5.0,Dining,Starbucks,Debit Card,Checking,Payment,Car professional lay.
T-919,2024-09-22 14:40:08.881401,31.51,Entertainment,Concert Hall,Debit Card,Checking,Withdrawal,Audience natural growth probably with drop dog.
T-92,2024-09-22 14:40:08.881401,32.67,Subscriptions,Amazon Prime,Bank Transfer,Checking,Withdrawal,Growth company deal open.
T-181,2024-09-22 14:40:08.881401,100.72,Utilities,Gas Utility,Credit Card,Investment,Payment,Establish reason minute shoulder skin ready buy.
T-950,2024-09-22 14:40:08.881401,82.97,Travel,Hilton,Bank Transfer,Savings,Deposit,Perhaps skill scene.
T-861,2024-09-22 14:40:08.881401,152.95,Utilities,Gas Utility,Mobile Payment,Checking,Withdrawal,Black somebody mother mind.
T-59,2024-09-22 14:40:08.881401,199.09,Shopping,Amazon,Mobile Payment,Investment,Transfer,East improve structure try.
T-880,2024-09-22 14:40:08.881401,88.42,Travel,Delta,Credit Card,Investment,Deposit,History population music training.
T-131,2024-09-23 14:40:08.881401,105.71,Utilities,Gas Utility,Cash,Investment,Payment,Family effort process world return create.
T-760,2024-09-23 14:40:08.881401,29.47,Entertainment,AMC Theatres,Cash,Savings,Transfer,Discover meeting wait under.
T-1077,2024-09-23 14:40:08.881401,4335.44,Other,Miscellaneous,Mobile Payment,Checking,Payment,Act agree back now fish music night attention.
T-939,2024-09-24 14:40:08.881401,1752.69,Rent/Mortgage,Landlord,Debit Card,Checking,Transfer,Country well nice recently road majority.
T-176,2024-09-24 14:40:08.881401,1118.55,Other,Miscellaneous,Credit Card,Checking,Transfer,Wear son standard collection military.
T-77,2024-09-24 14:40:08.881401,2855.85,Other,Miscellaneous,Mobile Payment,Checking,Deposit,Moment with third goal government return.
T-396,2024-09-24 14:40:08.881401,1528.21,Rent/Mortgage,Landlord,Bank Transfer,Savings,Withdrawal,Deep edge read whose fact six bit.
T-313,2024-09-25 14:40:08.881401,1660.17,Rent/Mortgage,Mortgage Bank,Bank Transfer,Checking,Payment,Opportunity office energy heart decide after.
T-852,2024-09-25 14:40:08.881401,1329.26,Rent/Mortgage,Landlord,Cash,Investment,Transfer,Black total war usually father half operation.
T-571,2024-09-26 14:40:08.881401,3366.27,Other,Miscellaneous,Cash,Checking,Transfer,White this move issue artist for side.
T-777,2024-09-26 14:40:08.881401,43.26,Healthcare,Clinic,Debit Card,Investment,Withdrawal,Civil well care foot daughter force it tree.
T-804,2024-09-26 14:40:08.881401,169.48,Shopping,Mall Store,Cash,Checking,Withdrawal,Agent send increase put very region specific appear.
T-170,2024-09-26 14:40:08.881401,135.58,Shopping,Best Buy,Bank Transfer,Investment,Payment,When either note her.
T-736,2024-09-26 14:40:08.881401,4077.87,Other,Miscellaneous,Credit Card,Investment,Withdrawal,Present use development.
T-628,2024-09-26 14:40:08.881401,90.1,Shopping,Target,Debit Card,Savings,Payment,Particular beyond suggest receive subject reduce.
T-472,2024-09-26 14:40:08.881401,1524.06,Rent/Mortgage,Mortgage Bank,Bank Transfer,Checking,Payment,Spend bar area film.
T-789,2024-09-26 14:40:08.881401,71.46,Utilities,Water Works,Mobile Payment,Investment,Withdrawal,Yes dark this.
R-2,2024-09-26 14:40:08.881401,1547.64,Rent/Mortgage,Landlord,Bank Transfer,Checking,Payment,Monthly rent/mortgage payment
T-955,2024-09-26 14:40:08.881401,1220.38,Rent/Mortgage,Landlord,Credit Card,Investment,Withdrawal,Natural quickly through reason listen.
T-29,2024-09-26 14:40:08.881401,16.11,Entertainment,Spotify,Cash,Investment,Transfer,To plant visit common bed.
T-963,2024-09-26 14:40:08.881401,12.81,Entertainment,Spotify,Credit Card,Checking,Deposit,Stop cause to recently.
T-821,2024-09-27 14:40:08.881401,198.12,Travel,Hilton,Bank Transfer,Investment,Deposit,On realize fall figure maintain firm dark.
S-Amazon Prime-2,2024-09-27 14:40:08.881401,33.07,Subscriptions,Amazon Prime,Bank Transfer,Checking,Payment,Monthly subscription: Amazon Prime
T-818,2024-09-27 14:40:08.881401,5.0,Travel,Delta,Debit Card,Savings,Deposit,Weight food wall think everything speech middle.
T-719,2024-09-27 14:40:08.881401,94.2,Utilities,Electric Co,Credit Card,Checking,Deposit,Increase example region help through power crime.
T-700,2024-09-28 14:40:08.881401,159.35,Groceries,Walmart,Cash,Checking,Payment,Employee son age color make.
S-Netflix-2,2024-09-28 14:40:08.881401,35.26,Subscriptions,Netflix,Cash,Checking,Payment,Monthly subscription: Netflix
T-173,2024-09-28 14:40:08.881401,47.47,Utilities,Electric Co,Cash,Checking,Deposit,Activity kid read allow.
S-Gym Membership-2,2024-09-28 14:40:08.881401,9.01,Subscriptions,Gym Membership,Bank Transfer,Checking,Payment,Monthly subscription: Gym Membership
T-567,2024-09-28 14:40:08.881401,1206.84,Rent/Mortgage,Mortgage Bank,Cash,Investment,Payment,Senior see here under present.
T-491,2024-09-29 14:40:08.881401,4271.49,Other,Miscellaneous,Cash,Investment,Deposit,Hair truth floor time program challenge effect decision.
T-803,2024-09-29 14:40:08.881401,82.58,Shopping,Amazon,Cash,Savings,Withdrawal,Act level major ball federal.
T-664,2024-09-29 14:40:08.881401,5.0,Subscriptions,Apple Music,Credit Card,Savings,Deposit,Stay question left information look tree.
T-851,2024-09-30 14:40:08.881401,155.7,Utilities,Gas Utility,Cash,Checking,Withdrawal,New make high you clearly wind teacher.
T-8,2024-09-30 14:40:08.881401,145.0,Shopping,Target,Cash,Savings,Withdrawal,Budget event thought heart.
T-412,2024-09-30 14:40:08.881401,178.21,Healthcare,Pharmacy,Mobile Payment,Savings,Deposit,Population show contain common chance evening.
T-192,2024-10-01 14:40:08.881401,18.91,Subscriptions,Gym Membership,Cash,Savings,Withdrawal,Step simple network star likely catch indeed.
T-854,2024-10-01 14:40:08.881401,1531.78,Rent/Mortgage,Landlord,Credit Card,Investment,Transfer,Approach agreement morning sing local he method.
T-406,2024-10-02 14:40:08.881401,15.55,Dining,Local Cafe,Mobile Payment,Investment,Transfer,Itself book treatment family.
T-735,2024-10-03 14:40:08.881401,3087.47,Other,Miscellaneous,Cash,Investment,Deposit,Together country garden mother reveal there outside.
T-1127,2024-10-03 14:40:08.881401,13.81,Groceries,Walmart,Cash,Savings,Payment,Door machine send.
T-902,2024-10-03 14:40:08.881401,1205.51,Rent/Mortgage,Mortgage Bank,Cash,Investment,Deposit,Good exactly those.
T-97,2024-10-03 14:40:08.881401,169.55,Travel,Hilton,Cash,Savings,Withdrawal,Ball business stock especially several.
T-319,2024-10-04 14:40:08.881401,105.17,Shopping,Best Buy,Cash,Checking,Withdrawal,Happy travel everyone crime conference week war yes.
T-54,2024-10-04 14:40:08.881401,39.19,Healthcare,Clinic,Credit Card,Checking,Withdrawal,Care he floor.
T-740,2024-10-04 14:40:08.881401,166.55,Utilities,Water Works,Bank Transfer,Investment,Transfer,Involve none second buy.
T-1147,2024-10-05 14:40:08.881401,71.33,Groceries,Costco,Mobile Payment,Checking,Transfer,Break him foreign research.
T-105,2024-10-05 14:40:08.881401,193.71,Travel,Airbnb,Bank Transfer,Checking,Payment,East join air total establish sense we.
T-771,2024-10-05 14:40:08.881401,173.85,Utilities,Gas Utility,Debit Card,Savings,Withdrawal,Open give most culture growth ok.
T-762,2024-10-05 14:40:08.881401,18.21,Subscriptions,Apple Music,Mobile Payment,Savings,Transfer,Low rather beyond.
T-906,2024-10-06 14:40:08.881401,139.55,Other,Miscellaneous,Cash,Checking,Deposit,Image team when heavy manage morning indeed.
T-798,2024-10-06 14:40:08.881401,113.98,Healthcare,Dental Care,Mobile Payment,Investment,Deposit,Beyond cut ask movement.
T-778,2024-10-06 14:40:08.881401,5.0,Dining,Starbucks,Cash,Checking,Withdrawal,Difficult beat computer front course analysis.
T-495,2024-10-06 14:40:08.881401,24.61,Entertainment,Concert Hall,Bank Transfer,Investment,Deposit,What fact enough again before of.
T-298,2024-10-06 14:40:08.881401,2524.07,Other,Miscellaneous,Credit Card,Checking,Transfer,Choice degree speech kitchen tend.
T-263,2024-10-07 14:40:08.881401,1047.39,Rent/Mortgage,Mortgage Bank,Mobile Payment,Savings,Payment,Painting record mention necessary ever very.
T-401,2024-10-07 14:40:08.881401,1156.0,Rent/Mortgage,Landlord,Bank Transfer,Savings,Transfer,No prevent attack bag hope.
T-386,2024-10-07 14:40:08.881401,18.81,Entertainment,Spotify,Cash,Checking,Withdrawal,Inside back white nature bill ball audience.
T-336,2024-10-08 14:40:08.881401,39.2,Shopping,Target,Bank Transfer,Checking,Transfer,Weight myself source watch.
T-601,2024-10-09 14:40:08.881401,137.54,Healthcare,Dental Care,Cash,Investment,Withdrawal,Cause cut owner worker city sound American customer.
T-110,2024-10-09 14:40:08.881401,11.0,Entertainment,Concert Hall,Credit Card,Checking,Payment,Role south field build laugh sort something.
T-872,2024-10-09 14:40:08.881401,1415.65,Rent/Mortgage,Mortgage Bank,Cash,Checking,Withdrawal,Action capital set hair main off.
T-905,2024-10-10 14:40:08.881401,18.2,Groceries,Walmart,Mobile Payment,Investment,Payment,Late consider standard air right.
T-839,2024-10-10 14:40:08.881401,1638.07,Rent/Mortgage,Landlord,Credit Card,Savings,Payment,You be pick resource door.
T-1076,2024-10-10 14:40:08.881401,17.65,Entertainment,AMC Theatres,Cash,Checking,Transfer,House chair lead arrive poor various.
T-366,2024-10-11 14:40:08.881401,21.84,Dining,Local Cafe,Bank Transfer,Investment,Deposit,Feel guess cover green.
T-104,2024-10-11 14:40:08.881401,66.34,Travel,Delta,Mobile Payment,Savings,Deposit,Scientist factor teach good entire.
T-916,2024-10-11 14:40:08.881401,2202.74,Travel,Uber,Credit Card,Savings,Transfer,Already police structure stop attorney education analysis.
T-141,2024-10-12 14:40:08.881401,1772.29,Rent/Mortgage,Mortgage Bank,Credit Card,Checking,Payment,Guy must recognize decade manager everyone start kind.
T-931,2024-10-12 14:40:08.881401,12.45,Entertainment,Spotify,Cash,Checking,Payment,Suffer short Mrs trouble training give lose.
T-39,2024-10-12 14:40:08.881401,304.96,Shopping,Target,Mobile Payment,Investment,Transfer,Many expert dog per plant write throughout.
T-639,2024-10-12 14:40:08.881401,49.81,Dining,Local Cafe,Credit Card,Checking,Payment,Doctor other structure ask data.
T-233,2024-10-12 14:40:08.881401,71.85,Travel,Hilton,Mobile Payment,Savings,Deposit,Statement thought yourself.
T-892,2024-10-12 14:40:08.881401,45.96,Travel,Delta,Bank Transfer,Checking,Transfer,Major dark operation feel.
T-3,2024-10-13 14:40:08.881401,76.83,Healthcare,Clinic,Bank Transfer,Investment,Deposit,Series kitchen film certain skill free nearly staff.
T-780,2024-10-13 14:40:08.881401,128.28,Shopping,Target,Bank Transfer,Savings,Withdrawal,House outside never report certainly.
T-509,2024-10-14 14:40:08.881401,11.45,Entertainment,Concert Hall,Mobile Payment,Investment,Payment,Car specific cell perform eat.
T-165,2024-10-14 14:40:08.881401,151.16,Utilities,Water Works,Debit Card,Savings,Deposit,It respond once ball so focus.
T-212,2024-10-15 14:40:08.881401,7.9,Subscriptions,Gym Membership,Debit Card,Checking,Payment,Oil about night rule heart choice during.
T-739,2024-10-15 14:40:08.881401,900.48,Travel,Hilton,Bank Transfer,Savings,Withdrawal,Sing air gun measure nation collection protect.
T-532,2024-10-16 14:40:08.881401,203.34,Utilities,Water Works,Credit Card,Savings,Transfer,Build customer note hotel push.
T-282,2024-10-16 14:40:08.881401,62.38,Groceries,Costco,Bank Transfer,Investment,Payment,Machine wife itself rest might imagine thought exist.
T-91,2024-10-16 14:40:08.881401,15.87,Entertainment,Concert Hall,Mobile Payment,Checking,Payment,Interview approach many sound although.
T-100,2024-10-17 14:40:08.881401,866.1,Rent/Mortgage,Landlord,Debit Card,Savings,Payment,Past eye director store least feel knowledge individual.
T-392,2024-10-17 14:40:08.881401,13.36,Entertainment,Concert Hall,Mobile Payment,Investment,Payment,Middle coach wonder.
T-675,2024-10-17 14:40:08.881401,35.98,Dining,Starbucks,Credit Card,Savings,Withdrawal,Force measure voice clearly.
T-25,2024-10-17 14:40:08.881401,13.62,Subscriptions,Gym Membership,Cash,Investment,Payment,Able late cultural nice.
T-539,2024-10-18 14:40:08.881401,1709.65,Rent/Mortgage,Mortgage Bank,Mobile Payment,Checking,Transfer,Herself different daughter trouble personal.
T-1024,2024-10-19 14:40:08.881401,146.23,Travel,Hilton,Debit Card,Checking,Withdrawal,East no form generation ahead.
T-326,2024-10-19 14:40:08.881401,24.41,Dining,McDonald's,Bank Transfer,Checking,Withdrawal,Market seem thing.
T-830,2024-10-20 14:40:08.881401,4359.26,Other,Miscellaneous,Debit Card,Savings,Payment,Artist middle word part everyone.
T-949,2024-10-20 14:40:08.881401,130.93,Utilities,Electric Co,Cash,Checking,Transfer,Fire eight note land involve career.
T-134,2024-10-21 14:40:08.881401,83.83,Groceries,Walmart,Debit Card,Investment,Transfer,And newspaper husband worry under movement behind.
T-13,2024-10-21 14:40:08.881401,64.28,Travel,Uber,Mobile Payment,Investment,Payment,Rather base indeed fill star.
T-868,2024-10-21 14:40:08.881401,125.68,Healthcare,Clinic,Bank Transfer,Checking,Transfer,Nice crime new capital throw purpose memory.
T-985,2024-10-22 14:40:08.881401,21.46,Entertainment,AMC Theatres,Mobile Payment,Investment,Transfer,Professor scene deep your.
T-521,2024-10-23 14:40:08.881401,42.5,Dining,Starbucks,Credit Card,Investment,Transfer,Control go film degree.
T-511,2024-10-24 14:40:08.881401,1207.29,Rent/Mortgage,Mortgage Bank,Credit Card,Savings,Transfer,Open poor traditional final outside meeting black.
T-505,2024-10-24 14:40:08.881401,185.55,Shopping,Amazon,Debit Card,Investment,Deposit,Score benefit news white suffer conference.
T-178,2024-10-24 14:40:08.881401,134.04,Groceries,Walmart,Debit Card,Checking,Withdrawal,Sense either condition toward leg successful.
T-18,2024-10-24 14:40:08.881401,2285.04,Other,Miscellaneous,Credit Card,Investment,Transfer,Defense these throw find place.
T-784,2024-10-25 14:40:08.881401,2014.09,Rent/Mortgage,Landlord,Debit Card,Savings,Withdrawal,Exist company crime strong dinner and onto.
R-3,2024-10-25 14:40:08.881401,1714.73,Rent/Mortgage,Landlord,Bank Transfer,Checking,Payment,Monthly rent/mortgage payment
T-161,2024-10-25 14:40:08.881401,4628.06,Other,Miscellaneous,Bank Transfer,Savings,Deposit,Professional toward alone bit.
S-Amazon Prime-3,2024-10-25 14:40:08.881401,25.19,Subscriptions,Amazon Prime,Mobile Payment,Checking,Payment,Monthly subscription: Amazon Prime
T-83,2024-10-25 14:40:08.881401,36.54,Dining,Local Cafe,Mobile Payment,Investment,Transfer,Result production natural set at hard their.
T-330,2024-10-25 14:40:08.881401,184.64,Utilities,Water Works,Bank Transfer,Savings,Transfer,There cause citizen treat yourself top.
T-897,2024-10-26 14:40:08.881401,18.7,Entertainment,Netflix,Debit Card,Investment,Withdrawal,Remember large Mrs option first.
T-952,2024-10-26 14:40:08.881401,18.73,Entertainment,AMC Theatres,Mobile Payment,Investment,Payment,Fast term at film ahead herself.
T-1030,2024-10-26 14:40:08.881401,226.4,Travel,Uber,Mobile Payment,Savings,Deposit,Describe service society increase travel.
T-128,2024-10-26 14:40:08.881401,1578.8,Rent/Mortgage,Mortgage Bank,Credit Card,Investment,Withdrawal,Eye special important.
T-380,2024-10-26 14:40:08.881401,345.24,Travel,Airbnb,Cash,Investment,Withdrawal,Crime thus without suddenly whether.
T-634,2024-10-27 14:40:08.881401,105.88,Utilities,Electric Co,Credit Card,Investment,Transfer,Three live director maybe do.
T-517,2024-10-27 14:40:08.881401,106.11,Utilities,Electric Co,Debit Card,Savings,Payment,Evidence community quite lay responsibility people on.
T-481,2024-10-28 14:40:08.881401,33.62,Dining,Local Cafe,Cash,Savings,Withdrawal,Something state seem rich bit federal.
S-Netflix-3,2024-10-28 14:40:08.881401,0.33,Subscriptions,Netflix,Credit Card,Checking,Payment,Monthly subscription: Netflix
S-Gym Membership-3,2024-10-30 14:40:08.881401,12.59,Subscriptions,Gym Membership,Credit Card,Checking,Payment,Monthly subscription: Gym Membership
T-46,2024-10-30 14:40:08.881401,288.97,Healthcare,Pharmacy,Bank Transfer,Savings,Transfer,Give man physical lot tend most.
T-72,2024-10-30 14:40:08.881401,976.16,Other,Miscellaneous,Bank Transfer,Investment,Payment,Imagine tonight soon state drop.
T-737,2024-10-30 14:40:08.881401,19.54,Entertainment,Concert Hall,Cash,Investment,Payment,Process improve candidate song next.
T-935,2024-10-31 14:40:08.881401,8.53,Subscriptions,Amazon Prime,Bank Transfer,Savings,Transfer,Respond lose occur education worry.
T-746,2024-11-01 14:40:08.881401,49.06,Groceries,Walmart,Credit Card,Checking,Transfer,Reveal sport almost player of most.
T-1035,2024-11-01 14:40:08.881401,69.44,Groceries,Costco,Cash,Checking,Deposit,Attorney third remain within.
T-439,2024-11-01 14:40:08.881401,8.02,Entertainment,Spotify,Bank Transfer,Investment,Payment,Serve so while start per Mr painting stage.
